Average Trip Duration,Amount of Rides,Subscribers,Non Subscribers,Subscriber %,Non Subscriber %
25.5,8,8,0,100.0,0.0
10.210526315789474,19,18,1,95.0,5.0
12.384615384615385,26,24,2,92.0,8.0
5.923076923076923,13,13,0,100.0,0.0
6.571428571428571,7,7,0,100.0,0.0
12.5,16,15,1,94.0,6.0
11.0,12,11,1,92.0,8.0
7.933333333333334,15,14,1,93.0,7.0
14.5,10,10,0,100.0,0.0
8.8,15,13,2,87.0,13.0
13.894736842105264,19,18,1,95.0,5.0
9.647058823529411,34,32,2,94.0,6.0
12.928571428571429,28,27,1,96.0,4.0
25.6,5,3,2,60.0,40.0
39.166666666666664,6,5,1,83.0,17.0
8.153846153846153,13,12,1,92.0,8.0
17.285714285714285,7,4,3,57.0,43.0
6.5,2,2,0,100.0,0.0
17.857142857142858,7,6,1,86.0,14.0
5.0,1,1,0,100.0,0.0
5.0,1,1,0,100.0,0.0
170.0,1,1,0,100.0,0.0
7.0,1,1,0,100.0,0.0
8.625,8,7,1,88.0,12.0
9.61111111111111,18,18,0,100.0,0.0
12.166666666666666,24,22,2,92.0,8.0
13.5,10,9,1,90.0,10.0
15.4,10,7,3,70.0,30.0
19.727272727272727,11,9,2,82.0,18.0
13.89655172413793,29,26,3,90.0,10.0
15.642857142857142,28,25,3,89.0,11.0
11.944444444444445,18,15,3,83.0,17.0
23.0625,16,13,3,81.0,19.0
15.782608695652174,23,19,4,83.0,17.0
12.195652173913043,46,40,6,87.0,13.0
14.25,28,28,0,100.0,0.0
12.714285714285714,7,5,2,71.0,29.0
19.88888888888889,9,9,0,100.0,0.0
10.153846153846153,13,12,1,92.0,8.0
10.571428571428571,7,7,0,100.0,0.0
17.142857142857142,7,7,0,100.0,0.0
3.5,2,2,0,100.0,0.0
75.0,1,1,0,100.0,0.0
8.5,2,2,0,100.0,0.0
11.0,5,4,1,80.0,20.0
8.866666666666667,15,15,0,100.0,0.0
13.0,26,23,3,88.0,12.0
7.764705882352941,17,15,2,88.0,12.0
5.5,4,4,0,100.0,0.0
15.705882352941176,17,16,1,94.0,6.0
16.238095238095237,21,18,3,86.0,14.0
18.047619047619047,21,18,3,86.0,14.0
7.285714285714286,21,21,0,100.0,0.0
6.823529411764706,17,14,3,82.0,18.0
11.80952380952381,21,20,1,95.0,5.0
13.466666666666667,30,26,4,87.0,13.0
10.727272727272727,22,20,2,91.0,9.0
6.666666666666667,9,8,1,89.0,11.0
12.916666666666666,12,12,0,100.0,0.0
15.818181818181818,11,9,2,82.0,18.0
12.555555555555555,9,8,1,89.0,11.0
4.6,5,5,0,100.0,0.0
21.25,4,3,1,75.0,25.0
9.5,2,2,0,100.0,0.0
26.5,2,2,0,100.0,0.0
12.0,1,1,0,100.0,0.0
1.0,1,1,0,100.0,0.0
7.6,10,10,0,100.0,0.0
8.227272727272727,22,19,3,86.0,14.0
16.612903225806452,31,25,6,81.0,19.0
9.130434782608695,23,20,3,87.0,13.0
10.647058823529411,17,13,4,76.0,24.0
13.346153846153847,26,21,5,81.0,19.0
18.0,26,22,4,85.0,15.0
16.789473684210527,19,17,2,89.0,11.0
14.76,25,21,4,84.0,16.0
15.826086956521738,23,20,3,87.0,13.0
13.555555555555555,18,16,2,89.0,11.0
12.853658536585366,41,34,7,83.0,17.0
16.68,25,22,3,88.0,12.0
131.77777777777777,9,8,1,89.0,11.0
22.0,14,14,0,100.0,0.0
15.818181818181818,11,11,0,100.0,0.0
5.25,4,4,0,100.0,0.0
9.5,2,2,0,100.0,0.0
13.0,1,1,0,100.0,0.0
10.666666666666666,3,3,0,100.0,0.0
11.0,1,1,0,100.0,0.0
41.0,1,0,1,0.0,100.0
12.0,1,0,1,0.0,100.0
14.0,7,7,0,100.0,0.0
13.875,8,8,0,100.0,0.0
16.214285714285715,14,11,3,79.0,21.0
30.115384615384617,26,14,12,54.0,46.0
19.807692307692307,26,18,8,69.0,31.0
27.46875,32,23,9,72.0,28.0
23.41176470588235,51,20,31,39.0,61.0
33.56818181818182,44,22,22,50.0,50.0
22.272727272727273,44,19,25,43.0,57.0
15.6,30,25,5,83.0,17.0
8.166666666666666,12,10,2,83.0,17.0
13.375,8,8,0,100.0,0.0
29.666666666666668,6,6,0,100.0,0.0
21.571428571428573,7,5,2,71.0,29.0
16.0,8,7,1,88.0,12.0
6.666666666666667,3,2,1,67.0,33.0
9.75,4,2,2,50.0,50.0
9.5,2,2,0,100.0,0.0
3.0,1,1,0,100.0,0.0
2.0,1,1,0,100.0,0.0
2.0,1,1,0,100.0,0.0
8.5,2,2,0,100.0,0.0
6.333333333333333,3,3,0,100.0,0.0
11.866666666666667,15,11,4,73.0,27.0
10.357142857142858,14,10,4,71.0,29.0
20.941176470588236,34,24,10,71.0,29.0
17.19047619047619,21,12,9,57.0,43.0
26.58823529411765,51,24,27,47.0,53.0
26.347826086956523,46,21,25,46.0,54.0
34.833333333333336,60,20,40,33.0,67.0
32.60493827160494,81,28,53,35.0,65.0
34.608108108108105,74,28,46,38.0,62.0
15.864864864864865,37,23,14,62.0,38.0
18.076923076923077,13,8,5,62.0,38.0
36.608695652173914,23,11,12,48.0,52.0
87.06666666666666,15,11,4,73.0,27.0
14.0,8,6,2,75.0,25.0
47.666666666666664,6,3,3,50.0,50.0
32.2,10,6,4,60.0,40.0
52.5,4,4,0,100.0,0.0
4.333333333333333,3,3,0,100.0,0.0
14.25,4,4,0,100.0,0.0
99.0,1,1,0,100.0,0.0
7.5,2,2,0,100.0,0.0
7.6,10,8,2,80.0,20.0
13.1,30,27,3,90.0,10.0
18.62162162162162,37,33,4,89.0,11.0
14.08,25,23,2,92.0,8.0
10.263157894736842,19,16,3,84.0,16.0
22.9375,16,12,4,75.0,25.0
13.266666666666667,15,13,2,87.0,13.0
16.470588235294116,17,16,1,94.0,6.0
15.266666666666667,15,15,0,100.0,0.0
